Employee_ID,Age,Department,Salary,Years_At_Company,Overtime_Hours,Work_Satisfaction,Distance_From_Home,Promotion_Last_2_Years,Attrition,Overtime_Per_Year
54,47,1,166127,12,25,6,4,0,0,1.9230769230769231
55,55,0,146317,3,23,10,18,0,0,5.75
56,31,0,174789,12,26,10,6,0,0,2.0
57,57,2,162449,17,17,9,35,0,0,0.9444444444444444
58,35,3,63699,10,17,1,22,0,0,1.5454545454545454
59,52,0,108686,14,13,5,15,0,0,0.8666666666666667
60,36,4,102661,17,14,4,22,1,0,0.7777777777777778
61,29,4,79247,18,28,8,37,1,0,1.4736842105263157
62,35,3,140113,19,11,1,12,0,0,0.55
63,44,1,39621,17,3,9,38,0,0,0.16666666666666666
64,42,1,171198,14,26,6,18,0,0,1.7333333333333334
65,37,3,171194,9,2,4,35,1,0,0.2
66,39,0,53030,8,19,9,30,0,0,2.111111111111111
67,45,1,117838,2,28,5,24,0,1,9.333333333333334
68,47,4,119717,13,11,5,30,1,0,0.7857142857142857
69,46,4,73638,7,6,5,14,0,0,0.75
70,50,2,102067,9,28,1,6,0,1,2.8
71,36,3,153033,11,10,1,3,0,0,0.8333333333333334
72,22,0,140977,14,0,8,16,0,0,0.0
73,46,3,123869,4,5,8,7,0,0,1.0
74,28,3,140186,13,14,6,14,0,0,1.0
75,30,0,69674,2,14,4,9,0,0,4.666666666666667
76,45,2,81271,5,18,2,15,0,0,3.0
77,22,3,108688,11,10,2,21,1,0,0.8333333333333334
78,29,1,146076,6,25,9,35,0,0,3.5714285714285716
79,45,2,176339,18,22,5,2,0,0,1.1578947368421053
80,32,1,36062,10,25,4,27,0,1,2.272727272727273
81,38,4,85448,4,1,10,2,1,0,0.2
82,29,2,130462,9,13,1,35,0,0,1.3
83,56,3,172301,6,1,7,18,0,0,0.14285714285714285
84,56,2,82915,2,28,3,14,1,1,9.333333333333334
85,54,2,39632,17,3,6,20,1,0,0.16666666666666666
86,26,2,139592,5,16,5,18,0,0,2.6666666666666665
87,49,2,169668,6,2,5,10,1,0,0.2857142857142857
88,28,1,144779,12,12,5,25,0,0,0.9230769230769231
89,30,3,172240,10,8,1,2,0,0,0.7272727272727273
90,29,0,143099,6,6,1,25,0,0,0.8571428571428571
91,33,2,42561,8,14,3,33,0,1,1.5555555555555556
92,55,3,117152,2,22,10,36,0,1,7.333333333333333
93,54,2,160036,12,28,4,31,0,0,2.1538461538461537
94,44,3,159049,13,28,5,14,0,0,2.0
95,45,1,61734,7,10,2,1,0,0,1.25
96,58,3,172443,10,19,8,16,1,0,1.7272727272727273
97,56,3,61069,13,1,2,3,0,0,0.07142857142857142
98,43,4,47910,17,14,9,35,0,0,0.7777777777777778
99,48,3,108479,14,13,2,6,0,0,0.8666666666666667
100,56,3,116264,2,19,9,25,1,0,6.333333333333333
101,22,4,58275,11,21,7,13,0,1,1.75
102,56,0,107274,1,10,8,34,1,0,5.0
103,58,2,135776,19,26,2,8,0,1,1.3
104,35,3,83447,4,2,7,21,0,0,0.4
105,24,4,161394,19,16,6,34,0,0,0.8
106,22,1,110703,11,29,4,4,0,0,2.4166666666666665
107,26,4,111090,8,11,7,25,0,0,1.2222222222222223
108,47,1,52260,11,23,4,15,1,1,1.9166666666666667
109,35,0,147581,4,27,2,4,0,1,5.4
110,48,3,38812,17,28,10,12,0,1,1.5555555555555556
111,30,3,151148,7,20,7,32,1,0,2.5
112,36,3,151421,8,14,8,32,0,0,1.5555555555555556
113,36,0,36605,3,15,2,28,1,1,3.75
114,47,3,107303,2,4,5,13,0,0,1.3333333333333333
115,34,3,111125,15,26,1,31,0,1,1.625
116,53,4,179990,5,19,7,14,0,0,3.1666666666666665
117,53,1,159040,1,5,8,20,0,0,2.5
118,25,4,179118,4,18,6,18,1,0,3.6
119,51,4,39324,15,24,5,29,0,1,1.5
120,58,4,111323,19,4,6,6,0,0,0.2
121,44,0,44111,3,2,2,32,0,1,0.5
122,36,4,51389,11,26,1,29,0,1,2.1666666666666665
123,50,3,157177,17,0,7,2,1,0,0.0
124,57,1,76427,13,25,7,23,0,0,1.7857142857142858
125,34,1,157883,11,27,10,19,0,0,2.25
126,53,4,166189,2,5,10,31,1,0,1.6666666666666667
127,28,0,160808,9,14,2,5,0,0,1.4
128,43,0,147221,2,1,2,19,1,1,0.3333333333333333
129,49,3,48234,9,28,1,34,0,1,2.8
130,23,4,88441,9,2,10,10,0,0,0.2
131,27,1,35846,8,16,8,25,0,0,1.7777777777777777
132,49,0,45954,17,24,8,2,0,1,1.3333333333333333
133,49,4,114239,1,23,1,11,1,1,11.5
134,41,0,81514,11,11,8,31,0,0,0.9166666666666666
135,51,3,123236,8,17,9,15,0,0,1.8888888888888888
136,32,1,132579,10,14,4,9,0,0,1.2727272727272727
137,49,2,172541,7,11,1,23,0,0,1.375
138,46,3,77101,3,15,1,19,0,0,3.75
139,54,3,99323,3,26,3,9,1,1,6.5
140,22,1,126922,18,7,5,35,0,0,0.3684210526315789
141,48,0,162534,5,27,5,21,0,0,4.5
142,34,4,102584,12,13,9,9,0,0,1.0
143,24,0,139537,12,24,10,28,0,0,1.8461538461538463
144,27,1,113477,19,16,2,7,0,0,0.8
145,29,3,77533,6,28,2,16,0,1,4.0
146,48,0,36828,2,20,6,16,1,1,6.666666666666667
147,30,3,36917,12,7,9,33,0,0,0.5384615384615384
148,58,4,55618,19,14,1,4,0,1,0.7
149,54,3,67254,5,26,9,4,0,0,4.333333333333333
150,45,3,140292,12,13,9,39,1,0,1.0
151,36,3,82362,17,17,9,17,0,0,0.9444444444444444
152,53,2,55128,17,19,5,37,0,0,1.0555555555555556
153,53,2,158781,10,6,9,39,0,0,0.5454545454545454
154,45,3,100545,17,2,4,29,0,0,0.1111111111111111
155,33,1,117180,15,28,2,36,0,1,1.75
156,23,3,122958,12,11,6,38,0,0,0.8461538461538461
157,24,1,175937,16,20,4,39,0,0,1.1764705882352942
158,58,1,168291,19,23,6,37,0,0,1.15
159,38,2,74809,8,27,3,35,1,1,3.0
160,23,3,151748,17,25,6,7,1,0,1.3888888888888888
161,23,4,40287,5,2,2,27,0,1,0.3333333333333333
162,49,2,43512,16,19,2,28,0,1,1.1176470588235294
163,44,2,167414,6,13,9,22,0,0,1.8571428571428572
164,58,0,143872,8,14,7,14,0,0,1.5555555555555556
165,53,4,128070,18,24,3,7,0,1,1.263157894736842
166,54,3,114767,12,29,1,37,0,1,2.230769230769231
167,22,3,132829,15,13,8,22,0,0,0.8125
168,40,2,77078,9,6,6,5,1,0,0.6
169,23,4,141288,13,16,7,2,0,0,1.1428571428571428
170,47,2,118524,15,29,9,27,0,0,1.8125
171,53,1,47219,10,11,5,21,1,0,1.0
172,27,2,35235,16,19,1,38,0,1,1.1176470588235294
173,53,2,77929,7,3,10,15,0,0,0.375
174,25,3,162309,17,8,7,21,0,0,0.4444444444444444
175,32,3,102444,7,5,5,10,0,0,0.625
176,38,3,174639,14,15,3,23,1,0,1.0
177,59,1,136834,15,24,9,39,0,0,1.5
178,45,3,119555,7,27,1,5,0,1,3.375
179,26,4,108698,9,21,1,1,1,1,2.1
180,55,0,159450,19,21,1,13,1,1,1.05
181,27,4,171487,16,20,3,21,1,0,1.1764705882352942
182,43,4,78925,8,20,6,26,0,0,2.2222222222222223
183,32,3,172023,18,1,10,21,0,0,0.05263157894736842
184,37,0,122388,18,23,3,18,1,1,1.2105263157894737
185,54,3,43007,7,7,8,37,1,0,0.875
186,30,0,93596,3,10,10,32,0,0,2.5
187,27,1,156101,18,12,2,36,0,0,0.631578947368421
188,37,3,123861,10,16,9,17,0,0,1.4545454545454546
189,50,0,121740,7,7,3,35,1,0,0.875
190,24,1,50524,17,20,5,11,0,0,1.1111111111111112
191,41,2,166149,14,17,10,21,0,0,1.1333333333333333
192,57,2,160501,3,29,8,26,0,0,7.25
193,40,3,55611,12,17,2,4,0,1,1.3076923076923077
194,47,1,49060,13,13,6,34,1,0,0.9285714285714286
195,24,3,78303,2,14,5,18,0,0,4.666666666666667
196,40,3,74711,3,5,10,35,1,0,1.25
197,41,2,178026,5,10,9,29,1,0,1.6666666666666667
198,53,0,108340,11,12,5,29,0,0,1.0
199,28,2,137974,8,24,2,38,0,1,2.6666666666666665
200,54,3,175256,12,0,5,21,0,0,0.0
201,39,0,102728,7,27,4,13,1,0,3.375
202,22,3,46246,15,5,7,17,0,0,0.3125
203,32,3,162796,17,8,6,9,0,0,0.4444444444444444
204,49,4,127263,4,7,2,1,1,0,1.4
205,46,1,170090,13,10,5,2,0,0,0.7142857142857143
206,44,3,46302,18,21,7,29,1,1,1.105263157894737
207,52,0,102506,1,18,7,33,0,0,9.0
208,51,4,76157,16,23,5,10,0,0,1.3529411764705883
209,56,0,89917,13,8,9,21,0,0,0.5714285714285714
210,28,4,131646,10,16,4,28,1,0,1.4545454545454546
211,37,4,118122,12,11,3,11,0,0,0.8461538461538461
212,47,4,59519,2,24,4,34,1,1,8.0
213,23,3,115910,3,13,5,8,1,0,3.25
214,22,2,155430,10,14,6,22,0,0,1.2727272727272727
215,33,0,106324,2,15,3,8,1,1,5.0
216,26,3,40408,13,21,2,15,0,1,1.5
217,58,3,94379,13,21,4,17,0,0,1.5
218,53,3,60053,18,27,5,23,0,0,1.4210526315789473
219,30,3,175518,3,19,4,24,1,0,4.75
220,56,3,166994,7,0,3,19,0,0,0.0
221,40,1,133723,14,9,8,5,0,0,0.6
222,37,0,86356,17,7,10,32,0,0,0.3888888888888889
223,24,3,45789,12,17,4,1,0,0,1.3076923076923077
224,41,0,132720,16,27,2,23,0,1,1.588235294117647
225,45,1,101656,12,0,2,37,1,0,0.0
226,54,1,79028,15,1,1,8,1,0,0.0625
227,45,0,99484,10,0,4,13,0,0,0.0
228,32,4,67154,7,0,10,8,1,0,0.0
229,29,2,37336,5,8,9,23,0,0,1.3333333333333333
230,57,3,138677,1,12,7,1,1,0,6.0
231,59,4,102779,17,29,10,24,0,0,1.6111111111111112
232,41,4,54029,3,0,7,35,0,0,0.0
233,56,3,94201,13,12,7,24,0,0,0.8571428571428571
234,46,1,67265,14,19,8,17,1,0,1.2666666666666666
235,56,4,137916,18,25,1,5,0,1,1.3157894736842106
236,46,1,81197,4,21,10,20,0,0,4.2
237,50,0,160733,18,6,10,21,0,0,0.3157894736842105
238,39,2,106907,5,1,8,31,0,0,0.16666666666666666
239,39,0,163876,16,5,4,36,0,0,0.29411764705882354
240,23,0,99435,1,6,4,11,0,0,3.0
241,56,3,75631,14,25,4,15,1,0,1.6666666666666667
242,37,2,164038,15,13,6,19,0,0,0.8125
243,57,0,55103,9,25,7,7,0,1,2.5
244,54,0,99772,15,17,6,28,0,0,1.0625
245,25,2,161108,17,14,1,5,1,0,0.7777777777777778
246,54,2,49382,4,1,8,5,1,0,0.2
247,35,0,119291,12,9,10,30,0,0,0.6923076923076923
248,42,2,136195,5,22,7,32,0,0,3.6666666666666665
249,41,3,169828,5,11,6,8,0,0,1.8333333333333333
250,29,0,55609,11,16,6,10,0,0,1.3333333333333333
251,28,3,110683,6,7,5,38,1,0,1.0
252,24,4,159714,7,10,6,32,0,0,1.25
253,38,0,165330,14,28,9,28,0,0,1.8666666666666667
254,54,3,106315,11,2,10,17,0,0,0.16666666666666666
255,33,4,112834,13,26,9,31,1,0,1.8571428571428572
256,43,4,161205,2,5,10,8,0,0,1.6666666666666667
257,43,4,49153,7,8,8,25,0,0,1.0
258,51,3,111325,4,5,10,9,0,0,1.0
259,59,0,179071,8,8,9,2,1,0,0.8888888888888888
260,59,3,90318,19,6,10,15,0,0,0.3
261,29,3,166886,13,8,8,3,0,0,0.5714285714285714
262,48,3,150033,14,17,8,36,0,0,1.1333333333333333
263,48,3,111077,10,11,1,4,0,0,1.0
264,55,1,125474,11,7,10,14,0,0,0.5833333333333334
265,42,3,168515,2,7,5,25,0,0,2.3333333333333335
266,51,2,108319,9,17,4,10,0,0,1.7
267,54,1,160885,17,27,2,21,0,1,1.5
268,49,3,144777,3,29,8,36,0,0,7.25
269,54,4,52368,6,19,3,12,1,1,2.7142857142857144
270,26,2,126751,5,29,4,27,0,0,4.833333333333333
271,40,2,62306,5,14,7,2,1,0,2.3333333333333335
272,25,2,72219,15,26,10,13,0,0,1.625
273,56,1,95279,17,6,9,32,0,0,0.3333333333333333
274,38,3,88028,9,10,2,31,0,0,1.0
275,49,3,139263,3,19,3,16,0,0,4.75
276,51,4,35126,17,15,4,32,0,0,0.8333333333333334
277,50,4,87329,10,3,10,32,0,0,0.2727272727272727
278,27,2,62632,3,5,1,34,0,0,1.25
279,56,4,144945,18,25,7,11,1,0,1.3157894736842106
280,58,1,90176,18,21,2,10,0,1,1.105263157894737
281,45,3,169869,17,25,5,15,1,0,1.3888888888888888
282,50,2,179790,3,2,1,17,0,0,0.5
283,52,4,69560,3,8,3,18,0,0,2.0
284,56,1,111589,6,27,2,9,0,1,3.857142857142857
285,54,1,57116,13,9,1,25,0,1,0.6428571428571429
286,42,4,167717,15,13,7,14,0,0,0.8125
287,53,3,159085,9,10,5,25,0,0,1.0
288,44,3,152718,4,17,1,22,0,0,3.4
289,54,2,54256,14,21,6,30,0,1,1.4
290,24,3,135158,5,11,5,20,0,0,1.8333333333333333
291,39,1,154719,2,22,3,21,1,1,7.333333333333333
292,46,4,103244,11,11,7,32,1,0,0.9166666666666666
293,52,3,177766,9,12,10,21,1,0,1.2
294,24,0,91264,3,24,9,35,1,0,6.0
295,45,4,92545,9,12,9,32,0,0,1.2
296,53,3,74224,3,18,9,30,0,0,4.5
297,43,3,132945,2,25,2,39,1,1,8.333333333333334
298,44,1,48224,12,18,3,12,0,1,1.3846153846153846
299,23,3,75738,10,22,7,18,0,0,2.0
300,48,3,98731,9,13,5,21,0,0,1.3
301,23,3,174649,15,3,2,13,0,0,0.1875
302,47,3,43070,8,12,3,21,0,1,1.3333333333333333
303,38,2,161161,5,7,10,8,1,0,1.1666666666666667
304,54,2,43666,11,28,6,7,0,1,2.3333333333333335
305,30,1,92761,2,22,7,23,0,1,7.333333333333333
306,50,4,71368,15,20,9,32,1,0,1.25
307,47,3,172855,6,22,1,11,0,1,3.142857142857143
308,56,4,76914,8,18,7,22,0,0,2.0
309,46,4,162738,5,11,8,22,0,0,1.8333333333333333
310,45,1,102526,16,17,3,25,0,0,1.0
311,34,3,54956,18,5,4,22,1,0,0.2631578947368421
312,28,3,81240,6,17,10,28,0,0,2.4285714285714284
313,57,0,156008,5,18,6,29,1,0,3.0
314,41,4,129270,16,21,10,13,0,0,1.2352941176470589
315,22,4,39757,13,4,7,18,1,0,0.2857142857142857
316,29,2,54097,5,23,4,2,1,1,3.8333333333333335
317,37,0,176467,13,8,8,29,1,0,0.5714285714285714
318,35,2,138892,17,26,5,21,0,0,1.4444444444444444
319,33,2,105480,18,2,1,15,1,0,0.10526315789473684
320,44,2,81163,8,27,4,27,0,0,3.0
321,36,1,54816,13,9,3,31,0,1,0.6428571428571429
322,49,1,87853,19,18,9,15,1,0,0.9
323,55,3,131731,3,2,8,23,0,0,0.5
324,23,0,97823,8,28,1,24,1,1,3.111111111111111
325,53,4,36759,2,28,6,13,0,1,9.333333333333334
326,44,0,127374,8,21,9,22,0,0,2.3333333333333335
327,43,3,168554,13,14,7,37,0,0,1.0
328,46,1,59442,13,0,4,33,0,0,0.0
329,43,4,128501,1,6,1,3,0,1,3.0
330,43,4,37079,6,11,2,19,0,1,1.5714285714285714
331,27,3,168789,19,16,5,23,0,0,0.8
332,36,3,94676,16,29,5,29,0,0,1.7058823529411764
333,58,2,125397,8,20,8,30,0,0,2.2222222222222223
334,54,1,107847,1,25,6,39,0,1,12.5
335,29,1,128607,16,28,8,25,0,0,1.6470588235294117
336,26,0,99077,9,23,2,37,0,1,2.3
337,25,2,73258,13,19,3,8,0,0,1.3571428571428572
338,27,2,172717,11,4,6,16,1,0,0.3333333333333333
339,53,2,154771,13,3,10,8,1,0,0.21428571428571427
340,51,2,73000,10,27,3,1,0,1,2.4545454545454546
341,56,1,61737,4,11,6,5,0,0,2.2
342,37,1,46485,6,29,6,3,1,1,4.142857142857143
343,34,3,73565,7,19,2,1,0,0,2.375
344,51,0,154614,5,27,7,4,0,0,4.5
345,40,4,100155,11,23,2,35,0,1,1.9166666666666667
346,38,4,87487,13,17,6,32,1,0,1.2142857142857142
347,40,0,164948,19,16,1,34,0,0,0.8
348,49,2,47342,10,18,3,25,0,1,1.6363636363636365
349,47,1,75806,10,8,2,10,1,0,0.7272727272727273
350,58,4,83770,11,3,7,21,1,0,0.25
